mapId;cellId;gfxId;movement;active
952;283;7519;1;1
1004;26;7530;1;1
1004;99;7531;1;1
1004;157;7538;1;1
1004;211;7530;1;1
1004;213;7531;1;1
1004;215;7540;1;1
1004;242;7538;1;1
1004;312;7530;1;1
1004;342;7540;1;1
1004;378;7502;1;1
1004;385;7538;1;1
1004;398;7531;1;1
1004;412;7530;1;1
1005;65;7530;1;1
1005;110;7538;1;1
1005;123;7531;1;1
1005;156;7540;1;1
1005;166;7530;1;1
1005;183;7538;1;1
1005;200;7540;1;1
1005;211;7531;1;1
1005;227;7531;1;1
1005;255;7530;1;1
1005;301;7531;1;1
1005;329;7530;1;1
1005;332;7538;1;1
1005;417;7530;1;1
1006;66;7531;1;1
1006;94;7530;1;1
1006;124;7538;1;1
1006;167;7538;1;1
1006;225;7540;1;1
1006;238;7538;1;1
1006;243;7540;1;1
1006;251;7531;1;1
1006;280;7530;1;1
1006;288;7538;1;1
1006;299;7531;1;1
1006;310;7530;1;1
1006;313;7530;1;1
1006;315;7530;1;1
1006;474;7530;1;1
1007;121;7002;1;1
1007;154;7002;1;1
1007;181;7005;1;1
1007;187;7035;1;1
1007;214;7005;1;1
100;237;7350;1;1
1010;126;7520;1;1
1010;154;7520;1;1
1010;220;7520;1;1
1010;221;7520;1;1
1010;236;7520;1;1
1011;183;7520;1;1
1011;197;7520;1;1
1011;225;7520;1;1
1011;252;7520;1;1
1011;322;7520;1;1
1012;336;7502;1;1
1012;378;7502;1;1
1012;429;7502;1;1
1014;61;7533;4;1
1014;296;1148;1;1
1014;413;7533;4;1
1015;118;7520;1;1
1015;131;7520;1;1
1015;144;7520;1;1
1015;157;7520;1;1
1015;170;7520;1;1
1018;166;7520;1;1
1018;167;7520;1;1
1018;180;7520;1;1
1018;182;7520;1;1
1018;250;7520;1;1
1018;257;7520;1;1
1018;264;7520;1;1
1018;272;7520;1;1
1018;278;7520;1;1
1019;166;7523;1;1
1019;167;7521;1;1
1019;180;7521;1;1
1019;182;7521;1;1
1019;250;7521;1;1
1019;257;7521;1;1
1019;264;7521;1;1
1019;272;7521;1;1
1019;278;7521;1;1
1020;166;7521;1;1
1020;167;7521;1;1
1020;180;7521;1;1
1020;182;7521;1;1
1020;250;7521;1;1
1020;257;7521;1;1
1020;264;7521;1;1
1020;272;7521;1;1
1021;166;7521;1;1
1021;167;7521;1;1
1021;180;7521;1;1
1021;182;7521;1;1
1021;242;7521;1;1
1021;250;7521;1;1
1021;257;7521;1;1
1021;264;7521;1;1
1021;272;7521;1;1
1022;166;7522;1;1
1022;167;7522;1;1
1022;180;7522;1;1
1022;182;7522;1;1
1022;194;7522;1;1
1022;250;7522;1;1
1022;257;7522;1;1
1022;264;7522;1;1
1022;272;7522;1;1
1022;278;7522;1;1
1023;166;7522;1;1
1023;167;7522;1;1
1023;180;7522;1;1
1023;182;7522;1;1
1023;194;7522;1;1
1023;250;7522;1;1
1023;257;7522;1;1
1023;264;7522;1;1
1023;272;7522;1;1
1024;166;7522;1;1
1024;167;7522;1;1
1024;180;7522;1;1
1024;182;7522;1;1
1024;194;7522;1;1
1024;250;7522;1;1
1024;257;7522;1;1
1024;264;7522;1;1
1024;272;7522;1;1
1024;278;7522;1;1
10254;249;2486;1;1
1025;168;7523;1;1
1025;181;7523;1;1
1025;183;7523;1;1
1025;195;7523;1;1
1025;198;7523;1;1
1025;209;7523;1;1
1025;213;7523;1;1
1025;223;7523;1;1
1025;228;7523;1;1
1025;237;7523;1;1
1025;243;7523;1;1
1025;251;7523;1;1
1025;265;7523;1;1
1025;279;7523;1;1
1025;293;7523;1;1
1026;167;7523;1;1
1026;181;7523;1;1
1026;183;7523;1;1
1026;195;7523;1;1
1026;198;7523;1;1
1026;209;7523;1;1
1026;213;7523;1;1
1026;228;7523;1;1
1026;243;7523;1;1
1026;265;7523;1;1
1026;279;7523;1;1
1026;293;7523;1;1
1027;181;7524;1;1
1027;195;7524;1;1
1027;198;7524;1;1
1027;213;7524;1;1
1027;279;7524;1;1
1028;167;7524;1;1
1028;181;7524;1;1
1028;195;7524;1;1
1028;198;7524;1;1
1028;228;7524;1;1
1028;279;7524;1;1
1028;293;7524;1;1
1029;181;7525;1;1
1029;195;7525;1;1
1029;198;7525;1;1
1029;228;7525;1;1
1029;243;7525;1;1
1029;279;7525;1;1
1029;293;7525;1;1
102;196;7350;1;1
1030;167;7525;1;1
1030;181;7525;1;1
1030;195;7525;1;1
1030;228;7525;1;1
1030;243;7525;1;1
1030;279;7525;1;1
1030;293;7525;1;1
1031;193;7520;1;1
1031;197;7520;1;1
1031;207;7520;1;1
1031;212;7520;1;1
1031;242;7520;1;1
1031;257;7520;1;1
1031;272;7520;1;1
1032;152;7526;1;1
1032;167;7526;1;1
1032;212;7526;1;1
1032;272;7526;1;1
1033;152;7526;1;1
1033;167;7526;1;1
1033;235;7526;1;1
1033;249;7526;1;1
1033;257;7526;1;1
1033;272;7526;1;1
1034;205;7522;1;1
1034;243;7522;1;1
10353;254;2486;1;1
1036;149;7527;1;1
1036;163;7527;1;1
1036;177;7527;1;1
1036;186;7527;1;1
1036;191;7527;1;1
1036;205;7527;1;1
1037;122;7526;1;1
1037;124;7526;1;1
1037;125;7526;1;1
1037;126;7526;1;1
1037;141;7526;1;1
1037;156;7526;1;1
1037;171;7526;1;1
1037;191;7526;1;1
1038;121;7527;1;1
1038;126;7527;1;1
1038;186;7527;1;1
1039;94;7532;1;1
1039;96;7539;1;1
1039;103;7539;1;1
1039;129;7539;1;1
1039;138;7529;1;1
1039;140;7529;1;1
1039;149;7529;1;1
1039;160;7532;1;1
1039;172;7532;1;1
1039;187;7529;1;1
1039;226;7529;1;1
1039;247;7529;1;1
1039;256;7529;1;1
1039;288;7529;1;1
1039;417;7529;1;1
1040;66;7538;1;1
1040;77;7540;1;1
1040;83;7530;1;1
1040;124;7531;1;1
1040;125;7530;1;1
1040;148;7540;1;1
1040;151;7538;1;1
1040;192;7538;1;1
1040;195;7530;1;1
1040;209;7531;1;1
1040;215;7531;1;1
1040;235;7538;1;1
1040;237;7530;1;1
1040;258;7538;1;1
1040;264;7531;1;1
1040;299;7531;1;1
1040;307;7531;1;1
1040;320;7531;1;1
1040;328;7538;1;1
1040;341;7531;1;1
1040;346;7540;1;1
1040;363;7530;1;1
1040;384;7538;1;1
1040;403;7540;1;1
1040;457;7540;1;1
1041;55;7530;1;1
1041;81;7532;1;1
1041;94;7538;1;1
1041;111;7530;1;1
1041;136;7538;1;1
1041;151;7532;1;1
1041;180;7532;1;1
1041;195;7530;1;1
1041;202;7531;1;1
1041;218;7540;1;1
1041;235;7532;1;1
1041;245;7538;1;1
1041;249;7538;1;1
1041;278;7532;1;1
1041;279;7530;1;1
1041;299;7531;1;1
1041;318;7540;1;1
1041;321;7530;1;1
1041;328;7538;1;1
1041;341;7531;1;1
1041;399;7538;1;1
1042;262;7538;1;1
1042;265;7530;1;1
1042;278;7531;1;1
1042;307;7531;1;1
1042;321;7530;1;1
1042;425;7531;1;1
1042;428;7538;1;1
1043;180;7520;1;1
1044;166;7520;1;1
1044;167;7520;1;1
1044;180;7520;1;1
1044;182;7520;1;1
1044;257;7520;1;1
1046;167;7520;1;1
1046;181;7520;1;1
1046;183;7520;1;1
1046;195;7520;1;1
1046;198;7520;1;1
1046;279;7521;1;1
1047;166;7520;1;1
1047;167;7520;1;1
1047;180;7520;1;1
1047;257;7520;1;1
1049;183;7528;1;1
1049;195;7528;1;1
1049;198;7528;1;1
1049;228;7528;1;1
1049;237;7528;1;1
1049;243;7528;1;1
1049;265;7528;1;1
1049;279;7528;1;1
1050;152;7528;1;1
1050;165;7528;1;1
1050;167;7528;1;1
1050;179;7528;1;1
1050;193;7528;1;1
1050;207;7528;1;1
1050;221;7528;1;1
1050;235;7528;1;1
1050;242;7528;1;1
1050;257;7528;1;1
1050;272;7528;1;1
1051;180;7527;1;1
1051;194;7527;1;1
1051;250;7527;1;1
1051;257;7527;1;1
1051;264;7527;1;1
1051;272;7527;1;1
1051;278;7527;1;1
1052;205;7527;1;1
1052;228;7527;1;1
1052;243;7527;1;1
1052;258;7527;1;1
1053;226;7010;1;1
1053;237;7035;1;1
1053;256;7008;1;1
1053;284;7009;1;1
1055;253;7007;1;1
1055;295;7007;1;1
1055;308;7035;1;1
1057;208;7035;1;1
1057;268;7011;1;1
1057;313;7011;1;1
1058;283;7011;1;1
1059;181;543;2;1
1059;253;543;2;1
1059;256;543;2;1
105;295;7350;1;1
1063;205;7001;1;1
1063;207;7001;1;1
1063;229;7001;1;1
1063;233;7001;1;1
1063;291;7035;1;1
1064;155;7012;1;1
1064;190;7035;1;1
1064;194;7012;1;1
1065;132;7012;1;1
1065;162;7012;1;1
1065;192;7012;1;1
1066;155;7012;1;1
1066;194;7012;1;1
1066;233;7012;1;1
1067;141;7035;1;1
1067;153;7013;1;1
1067;204;7013;1;1
1068;73;7502;1;1
1068;91;7501;1;1
1068;147;7502;1;1
1068;225;7503;1;1
1068;242;7502;1;1
1068;255;7501;1;1
1068;367;7504;1;1
1068;388;7501;1;1
1068;408;7503;1;1
1068;433;7503;1;1
1068;445;7501;1;1
1068;457;7501;1;1
1069;117;7502;1;1
1069;139;7501;1;1
1069;150;7501;1;1
1069;163;7502;1;1
1069;265;7501;1;1
1069;267;7501;1;1
1069;277;7502;1;1
1069;283;7501;1;1
1069;310;7501;1;1
1069;329;7500;1;1
1069;374;7500;1;1
1069;378;7504;1;1
1069;387;7500;1;1
1069;417;7501;1;1
1070;45;7503;1;1
1070;218;7501;1;1
1070;224;7503;1;1
1070;244;7501;1;1
1070;387;7501;1;1
1070;400;7501;1;1
1070;418;7500;1;1
1070;430;7502;1;1
1071;119;7503;1;1
1071;204;7502;1;1
1071;211;7501;1;1
1071;224;7501;1;1
1071;255;7502;1;1
1071;263;7502;1;1
1071;274;7502;1;1
1071;315;7502;1;1
1071;320;7503;1;1
1071;413;7503;1;1
1071;415;7502;1;1
1071;441;7502;1;1
1072;132;7501;1;1
1072;195;7500;1;1
1072;252;7500;1;1
1072;254;7500;1;1
1072;263;7501;1;1
1072;295;7502;1;1
